Filename;newFilename;Path;Title;Text_English;Language ;Pictorial_verbopictorial;Name_of_the_creator;Longitude;Latitude;Additional_info;Mode_of_construction;Function;Channels_of_circulation
IMG00044.jpg;IMG00044_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00044.jpg"" />";Migrant crisis;Migration is not a crime;EN;verbopictorial;Unknown;23.72823; 37.97878;Inspired by Banksy.;stencil, marker pen;social, political;public wall
IMG00045.jpg;IMG00045_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00045.jpg"" />";Kill nazism and fascism;;;pictorial;Unknown;23.72823; 37.97878;Gestalt;stencil;social, political;public wall
IMG00046.jpg;IMG00046_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00046.jpg"" />";NO to the Third Memorandum;No;DE;verbopictorial;Dimnaip;23.72476; 37.96861;Protest of street art against the third Greek bailout program. German nein, as an artistic interference, is written on the EU flag as a background.;stencil, marker pen;social, political;public wall
IMG00047.jpg;IMG00047_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00047.jpg"" />";Unemployment;Unemployment;GR;verbopictorial;Unknown;23.73462; 37.98470;It iscinspired by a poster of Alegria (a show by Cirque du Soleil), which had filled Athens’ ad spaces in the past. The represented human figure is the former Greek Prime Minister, Antonis Samaras.;paste-up, sticker;social, political;public wall
IMG00048.jpg;IMG00048_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00048.jpg"" />";Mass media and revolution;The television will not be revolutionized;EN;verbopictorial;Unknown;23.73793; 37.98693;;stencil;social, political;public wall
IMG00049.jpg;IMG00049_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00049.jpg"" />";Financial austerity;The time died even if was a doctor;GR;verbopictorial;Cacao Rocks;23.73372; 37.98539;;spraypaint / marker pen;social, political;public wall
IMG00050.jpg;IMG00050_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00050.jpg"" />";Tanks and Banks;Then with tanks, now with banks;EN;verbopictorial;Cacao Rocks;23.73475; 37.98721;;spraypaint / marker pen;social, political;public wall
IMG00051.jpg;IMG00051_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00051.jpg"" />";;;;pictorial;Unknown;23.73359; 37.98532;The IC XC is a Christogram, a monogram of Jesus’ name.  Jesus Christ in Greek looks like ΙΗΣΟΥΣ ΧΡΙΣΤΟΣ ΙΗΣΟΥΣ stands for Jesus and ΧΡΙΣΤΟΣ stands for Christ.  Greek Prime Minister Tsipras - Jesus Christ.;spraypaint / marker pen;social, political;public wall
IMG00052.jpg;IMG00052_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00052.jpg"" />";European migrant camp;Welcome to Europé camp;EN;verbopictorial;Mapet;23.72527; 37.98768;;spraypaint / marker pen;social, political;steel door
IMG00053.jpg;IMG00053_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00053.jpg"" />";Greek debt;Welcome…You owe to Troika 36730 euro!!!;EN;verbopictorial;FLIP;23.72599; 37.97686;;stencil;social, political;public wall
IMG00054.jpg;IMG00054_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00054.jpg"" />";Money control;From ancient to Modern Times. Who controls money?;EN;verbopictorial;Ore;23.73406; 37.98576;;spray paint, stencil;social, political;public wall
IMG00055.jpg;IMG00055_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00055.jpg"" />";Antifascism - Antinazism;Antifascism;GR;verbopictorial;Unknown;23.73327; 37.98394;;spraypaint;social, political;public wall
IMG00001.jpg;IMG00001_2016.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2016_A\IMG00001.jpg"" />";Priest as hippie;Never trust a hippie…;EN;verbopictorial;Unknown;23.73330; 37.98654;Never Trust a Hippy is an EP by the American punk rock band NOFX, released March 14, 2006 through Fat Wreck Chords.;stencil;social, political;public wall
